year,state,weeks_left,days_left,party,candidate,poll_date,poll_support,before_convention
2024,Alabama,30,,REP,Trump,,,
2024,Alabama,30,,DEM,Harris,,,
2024,Alaska,30,,REP,Trump,,,
2024,Alaska,30,,DEM,Harris,,,
2024,Arkansas,30,,REP,Trump,,,
2024,Arkansas,30,,DEM,Harris,,,
2024,Colorado,30,,REP,Trump,,,
2024,Colorado,30,,DEM,Harris,,,
2024,Connecticut,30,,REP,Trump,,,
2024,Connecticut,30,,DEM,Harris,,,
2024,Delaware,30,,REP,Trump,,,
2024,Delaware,30,,DEM,Harris,,,
2024,Hawaii,30,,REP,Trump,,,
2024,Hawaii,30,,DEM,Harris,,,
2024,Idaho,30,,REP,Trump,,,
2024,Idaho,30,,DEM,Harris,,,
2024,Illinois,30,,REP,Trump,,,
2024,Illinois,30,,DEM,Harris,,,
2024,Indiana,30,,REP,Trump,,,
2024,Indiana,30,,DEM,Harris,,,
2024,Iowa,30,,REP,Trump,,,
2024,Iowa,30,,DEM,Harris,,,
2024,Kansas,30,,REP,Trump,,,
2024,Kansas,30,,DEM,Harris,,,
2024,Kentucky,30,,REP,Trump,,,
2024,Kentucky,30,,DEM,Harris,,,
2024,Louisiana,30,,REP,Trump,,,
2024,Louisiana,30,,DEM,Harris,,,
2024,Maine,30,,REP,Trump,,,
2024,Maine,30,,DEM,Harris,,,
2024,Massachusetts,30,,REP,Trump,,,
2024,Massachusetts,30,,DEM,Harris,,,
2024,Mississippi,30,,REP,Trump,,,
2024,Mississippi,30,,DEM,Harris,,,
2024,New Jersey,30,,REP,Trump,,,
2024,New Jersey,30,,DEM,Harris,,,
2024,North Dakota,30,,REP,Trump,,,
2024,North Dakota,30,,DEM,Harris,,,
2024,Oklahoma,30,,REP,Trump,,,
2024,Oklahoma,30,,DEM,Harris,,,
2024,Oregon,30,,REP,Trump,,,
2024,Oregon,30,,DEM,Harris,,,
2024,Rhode Island,30,,REP,Trump,,,
2024,Rhode Island,30,,DEM,Harris,,,
2024,South Carolina,30,,REP,Trump,,,
2024,South Carolina,30,,DEM,Harris,,,
2024,South Dakota,30,,REP,Trump,,,
2024,South Dakota,30,,DEM,Harris,,,
2024,Tennessee,30,,REP,Trump,,,
2024,Tennessee,30,,DEM,Harris,,,
2024,Utah,30,,REP,Trump,,,
2024,Utah,30,,DEM,Harris,,,
2024,Vermont,30,,REP,Trump,,,
2024,Vermont,30,,DEM,Harris,,,
2024,Washington,30,,REP,Trump,,,
2024,Washington,30,,DEM,Harris,,,
2024,West Virginia,30,,REP,Trump,,,
2024,West Virginia,30,,DEM,Harris,,,
2024,Wyoming,30,,REP,Trump,,,
2024,Wyoming,30,,DEM,Harris,,,
